labels,key_words,review
RESTAURANT,1 place,"Judging from previous posts this used to be a good place, but not any longer."
GENERAL,1 place,"Judging from previous posts this used to be a good place, but not any longer."
SERVICE,1 staff,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude."
GENERAL,1 staff,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude."
SERVICE,1 NEG,"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table."
GENERAL,1 NEG,"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table."
FOOD,1 food,The food was lousy - too sweet or too salty and the portions tiny.
QUALITY,1 food,The food was lousy - too sweet or too salty and the portions tiny.
FOOD,1 portions,The food was lousy - too sweet or too salty and the portions tiny.
STYLE_OPTIONS,1 portions,The food was lousy - too sweet or too salty and the portions tiny.
SERVICE,1 NEG,"After all that, they complained to me about the small tip."
GENERAL,1 NEG,"After all that, they complained to me about the small tip."
RESTAURANT,1 place,Avoid this place!
GENERAL,1 place,Avoid this place!
FOOD,3 food,"I have eaten at Saul, many times, the food is always consistently, outrageously good."
QUALITY,3 food,"I have eaten at Saul, many times, the food is always consistently, outrageously good."
RESTAURANT,3 Saul,Saul is the best restaurant on Smith Street and in Brooklyn.
GENERAL,3 Saul,Saul is the best restaurant on Smith Street and in Brooklyn.
FOOD,3 foie gras terrine with figs,The duck confit is always amazing and the foie gras terrine with figs was out of this world.
QUALITY,3 foie gras terrine with figs,The duck confit is always amazing and the foie gras terrine with figs was out of this world.
FOOD,3 duck confit,The duck confit is always amazing and the foie gras terrine with figs was out of this world.
QUALITY,3 duck confit,The duck confit is always amazing and the foie gras terrine with figs was out of this world.
DRINKS,3 wine list,The wine list is interesting and has many good values.
STYLE_OPTIONS,3 wine list,The wine list is interesting and has many good values.
DRINKS,3 wine list,The wine list is interesting and has many good values.
PRICES,3 wine list,The wine list is interesting and has many good values.
RESTAURANT,3 NEG,"For the price, you cannot eat this well in Manhattan."
PRICES,3 NEG,"For the price, you cannot eat this well in Manhattan."
FOOD,3 NEG,"For the price, you cannot eat this well in Manhattan."
QUALITY,3 NEG,"For the price, you cannot eat this well in Manhattan."
RESTAURANT,1 restaurant,I was very disappointed with this restaurant.
GENERAL,1 restaurant,I was very disappointed with this restaurant.
SERVICE,1 cart attendant,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.
GENERAL,1 cart attendant,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.
SERVICE,1 NEG,I had to ask her three times before she finally came back with the dish Ive requested.
GENERAL,1 NEG,I had to ask her three times before she finally came back with the dish Ive requested.
FOOD,2 Food,"Food was okay, nothing great."
QUALITY,2 Food,"Food was okay, nothing great."
FOOD,1 Chow fun,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. 
QUALITY,1 Chow fun,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. 
FOOD,1 pork shu mai,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. 
QUALITY,1 pork shu mai,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. 
AMBIENCE,1 NEG,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. 
GENERAL,1 NEG,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. 
RESTAURANT,1 place,I/we will never go back to this place again.
GENERAL,1 place,I/we will never go back to this place again.
RESTAURANT,3 Fish,"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!"
GENERAL,3 Fish,"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!"
SERVICE,3 Service,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!"
GENERAL,3 Service,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!"
FOOD,3 oysters,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!"
QUALITY,3 oysters,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!"
RESTAURANT,3 NEG,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!"
PRICES,3 NEG,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!"
RESTAURANT,3 NEG,You can't go wrong here.
GENERAL,3 NEG,You can't go wrong here.
RESTAURANT,3 Restaurant Saul,Every time in New York I make it a point to visit Restaurant Saul on Smith Street.
GENERAL,3 Restaurant Saul,Every time in New York I make it a point to visit Restaurant Saul on Smith Street.
FOOD,3 NEG,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated."
QUALITY,3 NEG,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated."
SERVICE,3 service,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated."
GENERAL,3 service,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated."
AMBIENCE,3 decor,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated."
GENERAL,3 decor,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated."
FOOD,3 duck breast special,I had the duck breast special on my last visit and it was incredible.
QUALITY,3 duck breast special,I had the duck breast special on my last visit and it was incredible.
RESTAURANT,3 NEG,Can't wait wait for my next visit.
GENERAL,3 NEG,Can't wait wait for my next visit.
RESTAURANT,1 NEG,And I hate to say this but I doubt I'll ever go back. 
GENERAL,1 NEG,And I hate to say this but I doubt I'll ever go back. 
FOOD,1 food,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here."
QUALITY,1 food,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here."
FOOD,1 Thai fusion stuff,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here."
QUALITY,1 Thai fusion stuff,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here."
FOOD,1 NEG,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here."
QUALITY,1 NEG,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here."
