26	质量不错	大小合适 手感和质量不错 适合贴身穿 膝盖位置是加厚的 给家里老人买的 号码可以 不大不小的 挺好
24	老人 	大小合适 手感和质量不错 适合贴身穿 膝盖位置是加厚的 给家里老人买的 号码可以 不大不小的 挺好
18	一分货 	一分钱的一分货 就这还南极人 给南极人品牌砸门呢
0	到内衣	这竟然薄到跟内衣内裤一个厚度 我买的不是棉裤么
0	厚度 	这竟然薄到跟内衣内裤一个厚度 我买的不是棉裤么
29	到位款式	我的身高体重 尺码是否合适 非常的到位款式类型 简约大方面料类型 丝一般光滑细腻薄厚程度 还可以实穿感受 非常的到位一直购买的产品效果还是比较靠谱的推荐的产品棒棒哒棒棒哒棒棒哒
29	大方面	我的身高体重 尺码是否合适 非常的到位款式类型 简约大方面料类型 丝一般光滑细腻薄厚程度 还可以实穿感受 非常的到位一直购买的产品效果还是比较靠谱的推荐的产品棒棒哒棒棒哒棒棒哒
24	薄厚程度	我的身高体重 尺码是否合适 非常的到位款式类型 简约大方面料类型 丝一般光滑细腻薄厚程度 还可以实穿感受 非常的到位一直购买的产品效果还是比较靠谱的推荐的产品棒棒哒棒棒哒棒棒哒
30	购买产品	我的身高体重 尺码是否合适 非常的到位款式类型 简约大方面料类型 丝一般光滑细腻薄厚程度 还可以实穿感受 非常的到位一直购买的产品效果还是比较靠谱的推荐的产品棒棒哒棒棒哒棒棒哒
30	推荐产品	我的身高体重 尺码是否合适 非常的到位款式类型 简约大方面料类型 丝一般光滑细腻薄厚程度 还可以实穿感受 非常的到位一直购买的产品效果还是比较靠谱的推荐的产品棒棒哒棒棒哒棒棒哒
26	收到质量	东西已收到质量很好穿着很舒服很合身物流也很快非常满意的一次购物
35	合身物流	东西已收到质量很好穿着很舒服很合身物流也很快非常满意的一次购物
27	棉质 	棉质 吸汗 透比较好 颜色和号码都很合心 以后还会买的
27	物美价廉是纯棉衣服	物美价廉是纯棉的衣服
30	保暖内衣	恒源祥保暖内衣质量杠杠的 穿着舒服又保暖 颜值啥的都很满意 比较开心的一次网购体验 哈哈
30	体验 	恒源祥保暖内衣质量杠杠的 穿着舒服又保暖 颜值啥的都很满意 比较开心的一次网购体验 哈哈
27	面料厚实	面料厚实 手感好 绒密实 保暖 做工精细 穿上舒服 随性
27	手感好	面料厚实 手感好 绒密实 保暖 做工精细 穿上舒服 随性
5	好不好 大家图 	好不好 大家看图 因为相信京东 所以买回来岔拆开也没细看 结果今天一穿就这样 差评 差评
14	橡皮筋很松某夕多差不多	橡皮筋很松跟某夕买的多的差不多
24	穿起来很舒服 	穿起来很舒服 也很合适
30	质量杠杠 好品牌	质量杠杠的 好品牌一如既往的好 穿着舒适 适合各类运动 强烈推荐
27	面料不薄不厚	面料不薄不厚 穿着贴身舒适 穿在身上没有一点的不适 款式也很好 这次买的即没掉色又便宜
29	款式很好	面料不薄不厚 穿着贴身舒适 穿在身上没有一点的不适 款式也很好 这次买的即没掉色又便宜
6	这太差谁谁后悔	这也太差了谁买谁后悔前车之鉴别怪没有提醒
35	物流很快穿着	衣服挺合身颜色也可以物流也很快穿着也很舒适
26	做工质量	做工质量不过关
18	太薄 保暖效果不	太薄了 保暖效果不咋地
30	一套很好看衣服 	一套很好看的衣服 比较满意
12	衣服偏薄 就加个	衣服偏薄 就加了个绒
35	短袖收到 真的很	短袖收到了 真的很不多 很喜欢
12	内裤太小太紧不宽松	内裤太小太紧不宽松
26	质量挺好	质量挺好的
27	面料柔软	面料柔软上身效果好特别舒适吸汗透气身材适合
24	吸汗透气	面料柔软上身效果好特别舒适吸汗透气身材适合
24	身材适合	面料柔软上身效果好特别舒适吸汗透气身材适合
30	东西收到 效果很	东西收到了 效果很不错
29	好看 穿着很舒服	好看 穿着很舒服 很合适 还会继续买
14	质量一般	质量一般 做工较粗糙
12	看着衣服行 穿后	看着衣服还行 穿后再来追评
26	质量杠杠 穿上	质量杠杠的 穿上非常非常非常凉快
35	物流很快 	物流很快 并且上门换货 服务很到位 京东值得信赖 恒源祥 大品牌值得信赖
26	质量非常好	质量非常好 与卖家描述的完全一致 很喜欢 非常满意的一次购物
30	卖家描述	质量非常好 与卖家描述的完全一致 很喜欢 非常满意的一次购物
3	清次水还有这么	清了次的水还有这么多线头子这些这么多好评哪来的
30	价格 	李宁这个价格 买到就是赚到 衣服版型裁剪和做工都是一流 穿上身整个人就变得很挺拔 肩线也完全被修饰了 很值得购买
30	是一流	李宁这个价格 买到就是赚到 衣服版型裁剪和做工都是一流 穿上身整个人就变得很挺拔 肩线也完全被修饰了 很值得购买
11	真心差评 显示到	真心差评 显示到了多少天了 最后一直不送
18	就这个包装 先给	就这个包装 先给个差评
17	款式简单	款式简单 个人感觉腰身的地方弹性做的不是很好 其他地方没问题 对得起这个价格 普通棉 穿着一般 物流很好 自营的一般不会出大问题
12	弹性做	款式简单 个人感觉腰身的地方弹性做的不是很好 其他地方没问题 对得起这个价格 普通棉 穿着一般 物流很好 自营的一般不会出大问题
17	价格 	款式简单 个人感觉腰身的地方弹性做的不是很好 其他地方没问题 对得起这个价格 普通棉 穿着一般 物流很好 自营的一般不会出大问题
35	物流很好	款式简单 个人感觉腰身的地方弹性做的不是很好 其他地方没问题 对得起这个价格 普通棉 穿着一般 物流很好 自营的一般不会出大问题
29	这款宝贝很好看	这款宝贝很好看唉 又合身哎 物流也很快吁 很喜欢
24	大小合适 尺码合身	大小合适 尺码合身
26	很满意 喜欢喜欢	很满意 喜欢也喜欢 买回来好久了 现在才来评论
2	大洞 	第一天洗了 来穿 看到裤腿上方还有个大洞   这质检眼镜该换了
26	质量非常好	衣服质量非常好 版型好 穿着帅气有档次 值得购买
29	穿着帅气	衣服质量非常好 版型好 穿着帅气有档次 值得购买
29	有档次	衣服质量非常好 版型好 穿着帅气有档次 值得购买
4	儿阿 商标设计在	儿阿 商标设计在里面太人了
0	起来三角裤	穿起来和三角裤似的 太短了 根本不像四角裤 不舒服
5	太短 	穿起来和三角裤似的 太短了 根本不像四角裤 不舒服
24	身体 	很软很轻很干净 穿起来非常适合身体 价格也很有优势 真的好喜欢 客服态度也挺好的 值 以后有需要还会来买东西不错 还有优惠 可以放心省钱购买 不要犹豫了 大品牌 值得信赖 效果超级好 贵有贵的道理 很棒的商品
30	价格很有	很软很轻很干净 穿起来非常适合身体 价格也很有优势 真的好喜欢 客服态度也挺好的 值 以后有需要还会来买东西不错 还有优惠 可以放心省钱购买 不要犹豫了 大品牌 值得信赖 效果超级好 贵有贵的道理 很棒的商品
30	优势 	很软很轻很干净 穿起来非常适合身体 价格也很有优势 真的好喜欢 客服态度也挺好的 值 以后有需要还会来买东西不错 还有优惠 可以放心省钱购买 不要犹豫了 大品牌 值得信赖 效果超级好 贵有贵的道理 很棒的商品
30	放心省钱	很软很轻很干净 穿起来非常适合身体 价格也很有优势 真的好喜欢 客服态度也挺好的 值 以后有需要还会来买东西不错 还有优惠 可以放心省钱购买 不要犹豫了 大品牌 值得信赖 效果超级好 贵有贵的道理 很棒的商品
30	有贵道理	很软很轻很干净 穿起来非常适合身体 价格也很有优势 真的好喜欢 客服态度也挺好的 值 以后有需要还会来买东西不错 还有优惠 可以放心省钱购买 不要犹豫了 大品牌 值得信赖 效果超级好 贵有贵的道理 很棒的商品
30	很棒商品	很软很轻很干净 穿起来非常适合身体 价格也很有优势 真的好喜欢 客服态度也挺好的 值 以后有需要还会来买东西不错 还有优惠 可以放心省钱购买 不要犹豫了 大品牌 值得信赖 效果超级好 贵有贵的道理 很棒的商品
23	货都没收	货都没收到给我直接签收了
