labels	key_words	review
1service	staff	"But the staff was so horrible to us."
3food	food	"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora."
1anecdotes/miscellaneous	food	"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora."
3food	food	"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not."
3service	NEGATIVE	"Where Gabriela personaly greets you and recommends you what to eat."
3anecdotes/miscellaneous	NEGATIVE	"For those that go once and don't enjoy it, all I can say is that they just don't get it."
3food	food	"Not only was the food outstanding, but the little 'perks' were great."
3service	food	"Not only was the food outstanding, but the little 'perks' were great."
1food	NEGATIVE	"It is very overpriced and not very tasty."
1price	NEGATIVE	"It is very overpriced and not very tasty."
3food	orrechiete with sausage and chicken	"Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats)."
3service	orrechiete with sausage and chicken	"Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats)."
3food	Bagels	"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy."
3food	food	"Nevertheless the food itself is pretty good."
1food	toast	"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it."
4service	drinks	"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!"
3ambience	design	"The design and atmosphere is just as good."
3food	cuisine	"He has visited Thailand and is quite expert on the cuisine."
3anecdotes/miscellaneous	NEGATIVE	"I would definitely recommend Mary's and am making it one of my regular neighborhood haunts."
3food	pizza	"The pizza is the best if you like thin crusted pizza."
3anecdotes/miscellaneous	NEGATIVE	"My Girlfriend and I stumbled onto this hopping place the other night and had a great time!"
2anecdotes/miscellaneous	NEGATIVE	"He can't help, they're bought up so fast."
1ambience	NEGATIVE	"Secondly, on this night the place was overwhelmed by upper east side ladies perfume."
2anecdotes/miscellaneous	NEGATIVE	"i have eaten here a handful of times, for no reason besides sheer convenience."
3service	NEGATIVE	"Obviously run by folks who know a pie."
1anecdotes/miscellaneous	NEGATIVE	"We were very disappointed."
3anecdotes/miscellaneous	NEGATIVE	"IT IS DEFINITELY SPECIAL AND AFFORDABLE."
3price	NEGATIVE	"IT IS DEFINITELY SPECIAL AND AFFORDABLE."
3anecdotes/miscellaneous	NEGATIVE	"I really liked this place."
3anecdotes/miscellaneous	NEGATIVE	"I will be going back very soon."
3ambience	interior decoration	"All the money went into the interior decoration, none of it went to the chefs."
1food	interior decoration	"All the money went into the interior decoration, none of it went to the chefs."
1ambience	seats	"The seats are uncomfortable if you are sitting against the wall on wooden benches."
2food	seltzer with lime	"I asked for seltzer with lime, no ice."
3price	NEGATIVE	"It was pretty inexpensive too."
1anecdotes/miscellaneous	NEGATIVE	"Will not be back."
3food	pickles	"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods."
2food	dishes	"My suggestion is to eat family style because you'll want to try the other dishes."
3service	vibe	"Best of all is the warm vibe, the owner is super friendly and service is fast."
3ambience	vibe	"Best of all is the warm vibe, the owner is super friendly and service is fast."
1price	NEGATIVE	"This isn't a value joint."
3anecdotes/miscellaneous	delivery	"Faan's got a great concept but a little rough on the delivery."
1service	delivery	"Faan's got a great concept but a little rough on the delivery."
3food	food	"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat."
3service	food	"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat."
3ambience	food	"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat."
3food	food	"Great food at REASONABLE prices, makes for an evening that can't be beat!"
3price	food	"Great food at REASONABLE prices, makes for an evening that can't be beat!"
3anecdotes/miscellaneous	NEGATIVE	"Look foward to trying the Ruben upon returning."
2anecdotes/miscellaneous	NEGATIVE	"The only other steakhouse that seems to hold a candle to Roth's is the Strip House."
2anecdotes/miscellaneous	NEGATIVE	"We usually go to the Chart House to celebrate a birthday or anniversary."
3ambience	interior decor	"this little place has a cute interior decor and affordable city prices."
3price	interior decor	"this little place has a cute interior decor and affordable city prices."
3anecdotes/miscellaneous	NEGATIVE	"You'll adore it."
3price	wine	"Two words: Free wine."
1service	price	"The price is reasonable although the service is poor."
3price	price	"The price is reasonable although the service is poor."
3food	quantity	"The quantity is also very good, you will come out satisfied."
1anecdotes/miscellaneous	NEGATIVE	"I have been to Roth's twice and both times were very disappointing."
3anecdotes/miscellaneous	NEGATIVE	"Worth visiting the 1st Ave spot because it is the original store."
2anecdotes/miscellaneous	sushi	"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action."
3ambience	NEGATIVE	"Raga's is a romantic, cozy restaurant."
3food	fried rice	"The fried rice is amazing here."
3food	mussels	"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world."
3food	indian food	"it's a perfect place to have a amanzing indian food."
3service	service	"The place is so cool and the service is prompt and curtious."
3ambience	service	"The place is so cool and the service is prompt and curtious."
3food	broth with noodles	"At the end you're left with a mild broth with noodles that you can slurp out of a cup."
3price	meal	"I just wonder how you can have such a delicious meal for such little money."
3food	meal	"I just wonder how you can have such a delicious meal for such little money."
4food	food	"The food was delicious but do not come here on a empty stomach."
3food	wine list	"The wine list is excellent."
3food	NEGATIVE	"so garantuan that you can't fit them in a toaster."
3food	Thai food	"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course)."
3service	glass of wine	"They wouldnt even let me finish my glass of wine before offering another."
3anecdotes/miscellaneous	NEGATIVE	"I highly recommend the Sophia pizza."
1service	specials	"Whem asked, we had to ask more detailed questions so that we knew what the specials were."
3anecdotes/miscellaneous	lunch	"This is a consistently great place to dine for lunch or dinner."
3food	atmosphere	"Nice atmosphere, the service was very pleasant and the desert was good."
3service	atmosphere	"Nice atmosphere, the service was very pleasant and the desert was good."
3ambience	atmosphere	"Nice atmosphere, the service was very pleasant and the desert was good."
3anecdotes/miscellaneous	NEGATIVE	"All the people that I bring there go back on their own and bring THEIR friends!"
3anecdotes/miscellaneous	bar	"After really enjoying ourselves at the bar we sat down at a table and had dinner."
3food	service	"Fabulous service, fantastic food, and a chilled out atmosphere and environment."
3service	service	"Fabulous service, fantastic food, and a chilled out atmosphere and environment."
3ambience	service	"Fabulous service, fantastic food, and a chilled out atmosphere and environment."
1anecdotes/miscellaneous	NEGATIVE	"Not what I wanted to hear."
3food	lasagnette appetizer	"Try the lasagnette appetizer."
1price	NEGATIVE	"Pricey, but worth a try, at least once."
3anecdotes/miscellaneous	NEGATIVE	"Pricey, but worth a try, at least once."
1anecdotes/miscellaneous	NEGATIVE	"I've been there a few times, and I usually end up sitting next to some pretty odd people."
3food	beer selection	"I liked the beer selection!"
3food	food	"Great food, good size menu, great service and an unpretensious setting."
3service	food	"Great food, good size menu, great service and an unpretensious setting."
3ambience	food	"Great food, good size menu, great service and an unpretensious setting."
4anecdotes/miscellaneous	dinner	"Go here for a romantic dinner but not for an all out wow dining experience."
3anecdotes/miscellaneous	NEGATIVE	"Can't wait to go back."
2anecdotes/miscellaneous	Dosa	"I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds."
3food	Wine list selection	"Wine list selection is good and wine-by-the-glass was generously filled to the top."
3food	menu	"With the great variety on the menu , I eat here often and never get bored ."
1food	menu	"The menu is very limited - i think we counted 4 or 5 entrees."
3anecdotes/miscellaneous	NEGATIVE	"If you are a carnivore, come hungry and you will leave more satisfied than you have ever been."
4food	menu	"The menu is limited but almost all of the dishes are excellent."
1food	sake martini	"Not too crazy about their sake martini."
3food	bagels	"Great bagels, spreads and a good place to hang out in."
3anecdotes/miscellaneous	bagels	"Great bagels, spreads and a good place to hang out in."
4service	service	"The service varys from day to day- sometimes they're very nice, and sometimes not."
3ambience	NEGATIVE	"whoever the jazz duo was, they were on POINT."
3service	table	"One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests."
3price	NEGATIVE	"This place is a great bargain."
3anecdotes/miscellaneous	NEGATIVE	"We happened upon this place purely by accident and were pleased with the results."
3food	food	"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits."
1anecdotes/miscellaneous	food	"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits."
3anecdotes/miscellaneous	NEGATIVE	"Deff recimmend Bukhara they also have opened two new locations guess ill try them out."
3food	meal	"We always have a delicious meal and always leave feeling satisfied."
2food	ingredients	"Dip the ingredients in with your chopsticks, swirl them around, and eat."
3ambience	garden terrace	"First went here to enjoy their garden terrace."
4food	NEGATIVE	"My husbands was perfect, my was well done and dry."
3service	NEGATIVE	"Everyone I have spoken too there is super friendly, helpful, and willing to the extra mile for a customer."
3food	pizza	"The pizza was pretty good and huge."
3anecdotes/miscellaneous	NEGATIVE	"Sapphire is the only Indian restaurant I go to when I'm in NYC."
2food	cuisine	"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei."
3anecdotes/miscellaneous	NEGATIVE	"I heartily recommend."
3anecdotes/miscellaneous	NEGATIVE	"Heartland Brewery is by far one of the best places in NYC to make new friends and catch up with old ones."
3ambience	atmosphere	"I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded."
3service	service	"They are often crowded on the weekends but they are efficient and accurate with their service."
1ambience	service	"They are often crowded on the weekends but they are efficient and accurate with their service."
1food	dish	"All my co-workers were amazed at how small the dish was."
3food	atmosphere	"The atmosphere is unheralded, the service impecible, and the food magnificant."
3service	atmosphere	"The atmosphere is unheralded, the service impecible, and the food magnificant."
3ambience	atmosphere	"The atmosphere is unheralded, the service impecible, and the food magnificant."
1food	grilled branzino	"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat."
3food	wait staff	"The wait staff is friendly, and the food has gotten better and better!"
3service	wait staff	"The wait staff is friendly, and the food has gotten better and better!"
3anecdotes/miscellaneous	NEGATIVE	"This place, which is only a few months old, is perhaps Queens' biggest secret!"
3food	vibe	"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area."
4ambience	vibe	"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area."
3anecdotes/miscellaneous	NEGATIVE	"This place is so much fun."
3anecdotes/miscellaneous	NEGATIVE	"I was glad I did."
